País,Conta Bancária,Local,Celular,Tamanho da Família,Idade,Gênero,Relação com Chefe de Família,Estado Civil,Nível Educacional,Tipo de Trabalho
3,Sim,2,1,3,24,2,2,1,3,1
3,Não,2,2,5,70,2,1,3,2,9
3,Sim,1,1,5,26,1,5,2,5,1
3,Não,2,1,5,34,2,1,1,1,6
3,Não,1,2,8,26,1,3,2,1,2
3,Não,2,2,7,26,2,2,1,1,2
3,Não,2,1,7,32,2,2,1,1,1
3,Não,2,1,1,42,2,1,1,4,8
3,Sim,2,1,3,54,1,1,1,3,3
3,Não,1,1,3,76,2,1,4,2,4
3,Não,2,1,5,40,2,1,1,3,3
3,Sim,2,1,3,69,1,1,1,3,5
3,Não,2,2,6,64,2,1,3,2,3
3,Não,2,2,8,31,2,2,1,1,1
3,Não,1,1,4,26,1,1,1,1,2
3,Não,2,1,7,38,1,1,1,1,2
3,Não,1,1,1,47,2,1,1,3,1
3,Sim,2,1,6,27,2,1,1,3,1
3,Não,1,1,1,48,2,1,2,5,6
3,Não,2,2,4,25,2,2,1,1,3
3,Não,2,1,4,26,1,1,1,1,3
3,Sim,1,1,1,32,1,1,2,5,1
3,Não,1,1,4,34,2,2,1,3,1
3,Não,2,1,3,21,2,2,1,3,2
3,Não,1,2,7,18,1,5,2,3,4
3,Não,2,1,5,22,2,3,2,3,4
3,Não,2,2,8,26,1,3,1,1,1
3,Não,1,1,1,31,2,1,2,1,2
3,Não,2,1,4,26,1,1,1,1,6
3,Não,2,2,7,58,2,1,3,2,4
3,Não,1,1,5,55,1,1,1,3,2
3,Não,1,1,5,38,1,1,1,3,1
3,Sim,1,1,4,62,2,2,1,1,8
3,Não,2,1,3,29,2,1,1,1,4
3,Não,2,1,5,48,2,1,3,1,2
3,Não,2,1,4,35,1,1,1,1,2
3,Não,2,1,5,45,1,1,1,1,2
3,Não,2,1,8,45,1,1,1,1,3
3,Não,2,2,3,70,1,1,1,2,3
3,Não,2,1,6,67,1,1,4,1,3
3,Não,1,1,4,19,2,5,2,3,4
3,Sim,2,1,3,80,1,1,3,1,4
3,Não,2,1,2,66,1,1,1,3,3
